namespace,Question_flag,Question_Number,Answer_Number,Label,Label2,Point_Recommendation
,,,,,,
Individualv4.2,01.02.01,2,1,None,Spontaneity and Self-Disclosure,1
,,,,,,
Individualv4.2,01.03.01,3,1,Exp,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.03.02,3,2,Secondary,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.03.03,3,3,Format,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.03.04,3,4,Esp other,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.03.05,3,5,Personal,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.02.02,2,2,None,Individual Emotional intensity,1
,,,,,,
Individualv4.2,01.04.01,4,1,Emoti_neg,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.05.01,5,1,Cries_for_help,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.05.02,5,2,Fear,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.05.03,5,3,Anger,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.05.04,5,4,Other,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.04.02,4,2,Emoti_pos,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.06.01,6,1,Communion,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.06.02,6,2,Salvation,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.06.03,6,3,Other,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.04.03,4,3,Personal,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.04.04,4,4,Emoti_other,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.02.03,2,3,None,Individual Transgression of Conventions,1
,,,,,,
Individualv4.2,01.07.01,7,1,Resistance,Individual Transgression of Conventions,0
,,,,,,
Individualv4.2,01.07.02,7,2,Attack_expert,Individual Transgression of Conventions,0
,,,,,,
Individualv4.2,01.07.03,7,3,Conspiracy,Individual Transgression of Conventions,0
,,,,,,
Individualv4.2,01.07.04,7,4,Trans_other,Individual Transgression of Conventions,0
,,,,,,
Individualv4.2,01.02.04,2,4,None,Rhetorical style,1
,,,,,,
Individualv4.2,01.08.01,8,1,Irony/Humor,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.02,8,2,Gram_dev,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.03,8,3,FigSpe,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.04,8,4,Friends,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.05,8,5,Foes,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.06,8,6,Style_other,Rhetorical style,0
,,,,,,
Individualv4.2,01.02.05,2,5,None,Individual Authority,1
,,,,,,
Individualv4.2,01.09.01,9,1,Expert/public Figure,Individual Authority,0
,,,,,,
Individualv4.2,01.09.02,9,2,Institutions,Individual Authority,0
,,,,,,
Individualv4.2,01.09.03,9,3,Social_validation,Individual Authority,0
,,,,,,
Individualv4.2,01.09.04,9,4,Facts/Stats,Individual Authority,0
,,,,,,
Individualv4.2,01.09.05,9,5,Rights,Individual Authority,0
,,,,,,
Individualv4.2,01.09.06,9,6,Traditions,Individual Authority,0
,,,,,,
Individualv4.2,01.09.07,9,7,Consistency,Individual Authority,0
,,,,,,
Individualv4.2,01.09.08,9,8,Authority_other,Individual Authority,0
,,,,,,
Communityv4.2,01.02.01,2,1,None,Branding,1
,,,,,,
Communityv4.2,01.03.01,3,1,Product,Branding,0
,,,,,,
Communityv4.2,01.04.01,4,1,Product_promotes,Branding,0
,,,,,,
Communityv4.2,01.04.02,4,2,Product_disliked,Branding,0
,,,,,,
Communityv4.2,01.04.03,4,3,Product_other,Branding,0
,,,,,,
Communityv4.2,01.03.02,3,2,Habit,Branding,0
,,,,,,
Communityv4.2,01.03.03,3,3,Values,Branding,0
,,,,,,
Communityv4.2,01.03.04,3,4,Nation,Branding,0
,,,,,,
Communityv4.2,01.03.05,3,5,Brand_other,Branding,0
,,,,,,
Communityv4.2,01.02.02,2,2,None,Community Building,1
,,,,,,
Communityv4.2,01.05.01,5,1,Us,Community Building,0
,,,,,,
Communityv4.2,01.06.01,6,1,We,Community Building,0
,,,,,,
Communityv4.2,01.06.02,6,2,Friends,Community Building,0
,,,,,,
Communityv4.2,01.06.03,6,3,Group/Tribe,Community Building,0
,,,,,,
Communityv4.2,01.06.04,6,4,Nation/Nationalism,Community Building,0
,,,,,,
Communityv4.2,01.06.05,6,5,Other_group,Community Building,0
,,,,,,
Communityv4.2,01.05.02,5,2,Them,Community Building,0
,,,,,,
Communityv4.2,01.07.01,7,1,They,Community Building,0
,,,,,,
Communityv4.2,01.07.02,7,2,Their_nation,Community Building,0
,,,,,,
Communityv4.2,01.07.03,7,3,Foes,Community Building,0
,,,,,,
Communityv4.2,01.07.04,7,4,Other_group,Community Building,0
,,,,,,
Communityv4.2,01.05.03,5,3,Slogan_Acron,Community Building,0
,,,,,,
Communityv4.2,01.05.04,5,4,Bridge Building/Consmopolitanism,Community Building,0
,,,,,,
Communityv4.2,01.02.03,2,3,None,Community Emotional Intensity,1
,,,,,,
Communityv4.2,01.08.01,8,1,Emoti_neg,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.09.01,9,1,Cries_for_help,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.09.02,9,2,Fear,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.09.03,9,3,Anger,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.09.04,9,4,Other,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.08.02,8,2,Emoti_pos,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.10.01,10,1,Communion,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.10.02,10,2,Salvation,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.10.03,10,3,Other,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.08.03,8,3,Personal,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.08.04,7,4,Emoti_other,Community Emotional Intensity,0
,,,,,,
Communityv4.2,01.02.04,2,4,None,Community Transgression of Conventions,1
,,,,,,
Communityv4.2,01.11.01,11,1,Resistance,Community Transgression of Conventions,0
,,,,,,
Communityv4.2,01.11.02,11,2,Attack_expert,Community Transgression of Conventions,0
,,,,,,
Communityv4.2,01.11.03,11,3,Conspiracy,Community Transgression of Conventions,0
,,,,,,
Communityv4.2,01.11.04,11,4,Trans_other,Community Transgression of Conventions,0
,,,,,,
Communityv4.2,01.02.05,2,5,None,Community Authority,1
,,,,,,
Communityv4.2,01.12.01,12,1,Expoert/Public Figure,Community Authority,0
,,,,,,
Communityv4.2,01.12.02,12,2,Institutions,Community Authority,0
,,,,,,
Communityv4.2,01.12.03,12,3,Social_validation,Community Authority,0
,,,,,,
Communityv4.2,01.12.04,12,4,Facts/Stats,Community Authority,0
,,,,,,
Communityv4.2,01.12.05,12,5,Rights,Community Authority,0
,,,,,,
Communityv4.2,01.12.06,12,6,Traditions,Community Authority,0
,,,,,,
Communityv4.2,01.12.07,12,7,Consistency,Community Authority,0
,,,,,,
Communityv4.2,01.12.08,12,7,Authority_other,Community Authority,0
,,,,,,
Communityv4.2,01.02.06,2,6,None,Rebel or Alternative Media,1
,,,,,,
Communityv4.2,01.13.01,13,1,Rebel_alt,Rebel or Alternative Media,0
,,,,,,
Communityv4.2,01.13.02,13,2,Rebel_out,Rebel or Alternative Media,0
,,,,,,
Communityv4.2,01.13.03,13,3,Rebel_other,Rebel or Alternative Media,0
,,,,,,
Communityv4.2,01.02.07,2,7,None,Audience Engagement,1
,,,,,,
Communityv4.2,01.14.01,14,1,eng,Audience Engagement,0
,,,,,,
Communityv4.2,01.14.02,14,2,eng2,Audience Engagement,0
,,,,,,
Communityv4.2,01.14.03,14,3,tuned,Audience Engagement,0
,,,,,,
Communityv4.2,01.14.04,14,4,eng_other,Audience Engagement,0
